0.05	0		0		2.35E-06
0.1	0.00E+00	0		2.50E-06
0.2	0.00E+00	0		7.53E-05
0.4	0		5.35E-04	4.52E-02
0.5	2.49E-04	0.13512978	0.161645576
0.6	2.61E-04	0.255051225	0.269418657
0.8	2.04E-03	0.421051294	0.458640486
1	8.00E-02	0.555752099	0.5155285
1.2	0.142124966	0.615281701	0.602211177
1.4	0.21264261	0.693581223	0.676187396
1.6	0.30287236	0.704916179	0.722414374
1.8	0.39450413	0.773912072	0.742135644
2	0.482071159	0.774446189	0.772602975
2.2	0.528411396	0.832235336	0.797797143
2.4	0.560770022	0.833626628	0.834094882
2.8	0.631952569	0.847690582	0.840504646
3	0.659700303	0.856515408	0.860113323
3.4	0.704006393	0.865391612	0.862259328
3.6	0.726393659	0.878668368	0.875637412
3.8	0.755557656	0.88608408	0.886960924
4.2	0.772514174	0.891592741	0.906651616
4.4	0.783568749	0.898573637	0.910669565
4.6	0.792105753	0.900734544	0.911889076
5	0.805710673	0.902116418	0.921966672
5.2	0.813661873	0.90672034	0.915786564
5.4	0.811243176	0.911889076	0.92954725
5.8	0.821894169	0.921966672	0.937954724

